objid_ps,objid_1,ra_1,dec_1,n_obs_good,n_obs_all,mean_flux_good,mean_mag_good,mean_flux_all,period_good,period_all,baseline,rm,gm,hmag,w1mag,chi2,DM,Ag,period,EBV,n_ps_obs
1.044133185326797E19,56.22869_56.41051,56.22869,56.41051,23,120,0.247,17.869,0.031,7.013,5.673,3,18.532,20.115,14.321,13.807,7.072,19.434,0.404,8.98731,1.231,67
1.0459328659591408E19,55.99646_56.41616,55.99646,56.41616,20,120,0.205,18.12,-0.0030,1.338,1.822,3,18.22,19.471,14.405,13.823,31.13,17.854,0.736,1.91276,1.076,54
1.069390286830766E19,55.96974_49.56109,55.96974,49.56109,57,255,0.23,17.922,0.04,1.035,1.428,5,18.672,19.474,15.155,14.729,7.38,17.643,0.458,1.10738,1.039,58
1.0603654953900093E19,55.58948_52.56078,55.58948,52.56078,7,140,99999.9,17.961,-0.04,99999.9,2.361,5,17.591,19.151,13.168,12.613,12.559,17.753,0.466,5.8713,1.335,61
1.0549506205255246E19,55.57932_54.49535,55.57932,54.49535,17,140,0.209,18.087,-0.0090,3.108,14.678,5,16.951,19.285,11.416,10.683,22.945,14.472,0.515,2.69227,2.139,73
1.0585605371018473E19,55.55569_53.24893,55.55569,53.24893,27,140,0.215,17.997,0.0050,1.437,2.071,5,16.061,17.387,12.29,11.886,90.672,15.06,1.086,1.08639,1.194,58
1.0495375048796432E19,55.53694_56.02981,55.53694,56.02981,24,260,0.226,17.97,-0.025,1.049,2.381,5,16.809,18.897,11.206,10.536,6.959,14.299,0.457,2.38149,2.077,46
1.0549488613069201E19,55.35917_54.55471,55.35917,54.55471,14,140,0.216,18.034,-0.0070,2.875,1.959,5,17.328,18.907,13.535,12.904,10.258,15.346,0.283,1.02497,1.486,52
1.0603602177341911E19,55.23212_53.17437,55.23212,53.17437,33,140,0.212,18.03,0.053,4.403,4.153,5,18.627,20.02,15.093,14.227,15.18,17.482,0.323,1.25339,1.215,64
1.069377972300548E19,55.06585_51.04034,55.06585,51.04034,25,255,0.225,17.907,-0.01,1.035,1.031,5,17.891,19.112,14.822,14.472,34.538,17.286,0.554,1.09769,0.935,64
1.054943583651127E19,54.76584_54.98455,54.76584,54.98455,20,140,0.235,17.887,0.015,1.284,1.323,5,18.302,19.767,14.399,14.051,21.298,17.433,0.315,1.82837,1.287,57
1.0477255097170577E19,54.70760_57.22290,54.7076,57.2229,36,120,0.197,18.089,-0.022,1.149,1.858,3,15.395,16.97,10.945,10.434,5.596,13.795,0.349,1.85785,1.6,62
1.0567432642834452E19,54.26348_55.08288,54.26348,55.08288,23,135,0.201,18.166,0.0070,1.142,1.03,3,16.803,18.367,12.87,12.016,20.034,15.197,0.346,1.06377,1.409,45
1.0621546207107168E19,54.14557_53.65151,54.14557,53.65151,22,135,0.228,17.992,0.026,1.135,4.781,3,17.431,18.141,14.402,13.679,48.687,16.422,0.677,1.2202,1.075,63
1.0747787734161832E19,53.88257_50.95489,53.88257,50.95489,18,135,0.202,18.063,0.0050,3.164,1.396,5,18.01,19.678,13.037,12.483,10.155,16.089,0.305,1.71494,1.639,68
1.0603443847667372E19,53.72050_55.00261,53.7205,55.00261,17,135,0.7,15.317,0.0070,1.51,1.452,3,17.1,18.578,13.081,12.574,8.96,15.59,0.442,1.52646,1.443,48
1.065757500412579E19,53.50373_53.38094,53.50373,53.38094,83,274,0.201,17.787,,1.862,99999.9,3,14.764,16.411,11.06,10.532,4.2,13.865,0.367,1.86161,1.312,70
1.067560699482155E19,53.40915_52.98935,53.40915,52.98935,22,274,0.281,17.74,-0.033,1.562,2.01,3,18.245,19.536,14.238,13.72,36.568,17.395,0.6,2.45076,1.28,50
1.069360380114479E19,53.21738_52.95881,53.21738,52.95881,39,274,0.318,17.64,0.0020,1.032,1.013,3,18.054,19.861,13.184,12.537,14.524,15.898,0.264,1.31185,1.683,65
1.0711530238724014E19,52.00945_53.84008,52.00945,53.84008,18,139,0.192,18.147,0.015,1.206,2.215,3,18.221,19.283,15.363,15.19,33.007,18.339,0.435,1.70922,0.839,54
1.081975736726944E19,51.90764_51.04357,51.90764,51.04357,9,135,99999.9,18.137,-0.021,99999.9,1.671,5,18.238,19.69,14.246,13.798,5.681,17.017,0.403,1.27624,1.292,58
1.0693463063656684E19,51.59662_54.36582,51.59662,54.36582,21,139,0.204,18.062,0.017,1.306,1.549,3,18.528,20.024,14.074,13.576,7.037,17.895,0.37,2.56288,1.302,56
1.0801619823457546E19,50.83780_52.71034,50.8378,52.71034,21,139,0.203,18.085,-0.013,3.789,1.195,3,17.573,18.329,14.804,14.443,46.526,17.346,0.49,1.08484,0.687,62
