,objid,ra_fit,dec_fit,rm,gm,chi2,DM, Ag, period,EBV,ng,nr,ni,nz,ny,Unnamed: 0,ra_params,dec_params,maxloglik,omega_best,tau_best,q,errorweightedmeanmag_g,errorweightedmeanmag_r,errorweightedmeanmag_i,errorweightedmeanmag_z,errorweightedmeanmag_y,gbandepochs,rbandepochs,ibandepochs,zbandepochs,ybandepochs,w1mpro,w2mpro,w1sigmpro,w2sigmpro,J,eJ,H,eH,K,eK,amp_g,amp_r,amp_i,amp_z,amp_y,gr,ri,iz,zy,gi,gy,iy,ry,iW1,iW2,W12,iK,gK,rK,zK,yK,JH,HK,iw1,w12,class_score,grm,class_score_2
1566,10423792443781611819,61.19303,51.44049,13.532,14.394,48.486,14.727,0.618,2.10751,0.476,10,10,4,5,14,4677099,61.19302934,51.44049438,71.25955668,0.20683536,0.45351651,275.71541272,14.36573582,13.20355781,13.71256202,12.99008637,12.82076075,10,4,10,5,14,11.21,11.155,0.023,0.021,11.791,0.024,11.514,0.028,11.355,0.023,0.589,0.675,0.21,0.272,0.295,0.6531738,0.50900421,0.21347144,0.16932562,1.16217801,1.54497507,0.38279706,0.89180127,1.99355781,2.04855781,0.055,1.84855781,3.01073582,2.35756202,1.63508637,1.46576075,0.277,0.159,,,0.535700261593,0.862,0.713827311993
1581,10423950773456207946,62.45564,49.73556,14.659,16.544,12.07,14.024,0.836,3.5935,1.426,15,14,6,5,9,1573810,62.45566919,49.7355598,81.37128722,0.20683536,1.52707248,551.4157842,16.2330471,13.67086057,14.62894575,13.11058923,12.52009599,15,6,14,5,9,9.775,9.715,0.024,0.021,11.258,0.024,10.457,0.028,10.132,0.022,0.84,0.627,0.473,0.148,0.325,1.60410135,0.95808518,0.56027134,0.59049324,2.56218653,3.71295111,1.15076458,2.10884976,3.89586057,3.95586057,0.06,3.53886057,6.1010471,4.49694575,2.97858923,2.38809599,0.801,0.325,,,0.547254264355,1.885,0.99015557766
1619,10441648512616775737,59.54269,53.15534,16.436,18.278,13.055,14.422,0.243,1.45925,1.697,12,12,14,14,12,4749114,59.54269376,53.15533799,153.73989482,0.08335609,5.14193052,51.96164812,18.32470977,15.34658662,16.47110307,14.7580631,14.22143098,12,14,12,14,12,11.079,11.043,0.023,0.021,12.531,0.026,11.556,0.03,11.216,0.018,0.273,0.175,0.284,0.294,0.135,1.8536067,1.12451645,0.58852352,0.53663212,2.97812315,4.10327879,1.12515564,2.24967209,4.26758662,4.30358662,0.036,4.13058662,7.10870977,5.25510307,3.5420631,3.00543098,0.975,0.34,,,0.540253221989,1.842,0.704168319702
1659,10442545714105182578,65.59954,43.0052,16.711,17.802,66.471,17.646,0.544,2.71498,0.743,9,9,11,10,12,464271,65.5995439,43.00520303,82.08386853,0.20683536,0.45351651,289.09225974,17.86644989,16.26516272,16.70501905,15.99787074,15.61608453,9,11,9,10,12,13.393,13.361,0.025,0.032,14.425,0.028,13.801,0.034,13.59,0.037,0.593,0.07,0.775,0.67,0.114,1.16143084,0.43985633,0.26729198,0.38178621,1.60128717,2.25036536,0.64907819,1.08893452,2.87216272,2.90416272,0.032,2.67516272,4.27644989,3.11501905,2.40787074,2.02608453,0.624,0.211,,,0.545336127281,1.091,0.652740240097
1680,10459662911126281072,59.06242,52.80727,16.383,18.359,7.4,15.787,0.379,4.93282,1.627,14,12,10,13,16,4550224,59.06242148,52.80726629,135.39700422,0.11284955,1.01883565,87.53403894,18.39704826,15.26554164,16.40983802,14.59190696,14.10207527,14,10,12,13,16,11.032,10.954,0.023,0.021,12.658,0.027,11.781,0.031,11.385,0.019,0.444,0.335,0.13,0.346,0.267,1.98721024,1.14429638,0.67363468,0.48983169,3.13150662,4.29497299,1.16346637,2.30776275,4.23354164,4.31154164,0.078,3.88054164,7.01204826,5.02483802,3.20690696,2.71707527,0.877,0.396,,,0.547254264355,1.976,0.914457559586
1686,10459698095498400266,59.47892,52.42699,14.446,16.249,28.807,17.633,0.411,45.40799,0.985,16,13,8,9,8,4552961,59.4789208,52.42699314,122.86021705,0.15277852,17.31381436,141.84960563,16.25313518,13.54933296,14.49819296,13.07087531,12.60936238,16,8,13,9,8,9.477,9.339,0.023,0.021,10.875,0.026,9.939,0.032,9.533,0.023,0.261,0.233,0.246,0.554,0.376,1.75494222,0.94886,0.47845765,0.46151293,2.70380222,3.6437728,0.93997058,1.88883058,4.07233296,4.21033296,0.138,4.01633296,6.72013518,4.96519296,3.53787531,3.07636238,0.936,0.406,,,0.541193783283,1.803,0.757310152054
1741,10477624533078018807,58.41343,53.13196,17.38,19.233,7.52,15.544,0.211,1.98355,1.742,14,10,11,11,13,4681704,58.41343265,53.13196068,128.63903905,0.11284955,1.52707248,49.65765227,19.23675203,16.26398759,17.45304434,15.53031923,15.10462992,14,11,10,11,13,11.906,11.849,0.024,0.023,13.544,0.027,12.512,0.03,12.163,0.029,0.222,0.283,0.309,0.221,0.265,1.78370769,1.18905675,0.73366836,0.42568931,2.97276444,4.13212211,1.15935767,2.34841442,4.35798759,4.41498759,0.057,4.10098759,7.07375203,5.29004434,3.36731923,2.94162992,1.032,0.349,,,0.546305775642,1.853,0.669307947159
1784,10478451365822055754,64.52032,44.16573,16.424,17.432,57.652,18.092,0.482,3.81094,0.566,8,8,8,9,11,1071725,64.52031723,44.16573139,71.29718261,0.20683536,0.67974906,161.18699105,17.49102684,15.94817069,16.42686992,15.83996286,15.5406713,8,8,8,9,11,13.607,13.582,0.025,0.034,14.434,0.026,13.832,0.032,13.615,0.033,0.429,0.034,0.085,0.675,0.354,1.06415692,0.47869923,0.10820783,0.29929156,1.54285615,1.95035554,0.40749939,0.88619862,2.34117069,2.36617069,0.025,2.33317069,3.87602684,2.81186992,2.22496286,1.9256713,0.602,0.217,,,0.545350015163,1.008,0.63087439537
1786,10495375048796432654,55.53693,56.0298,16.809,18.897,6.959,14.299,0.457,2.38149,2.077,9,10,8,4,15,133818,55.53694165,56.02980601,84.75261207,0.15277852,1.01883565,102.55879168,18.81241302,15.41082199,16.79831426,14.67861762,14.03200478,9,8,10,4,15,10.536,10.42,0.023,0.019,12.178,0.018,11.206,0.019,10.8,0.02,0.593,0.524,0.435,0.094,0.271,2.01409876,1.38749227,0.73220437,0.64661284,3.40159103,4.78040824,1.37881721,2.76630948,4.87482199,4.99082199,0.116,4.61082199,8.01241302,5.99831426,3.87861762,3.23200478,0.972,0.406,,,0.547254264355,2.088,0.954164505005
1823,10495832445633500962,59.87735,50.92054,14.539,16.0,21.08,14.061,0.866,3.37302,1.278,10,10,3,7,9,4744262,59.87734893,50.92053532,62.4245534,0.28001884,1.52707248,546.6060559,15.91370985,13.34694053,14.27821358,12.74401863,12.40785047,10,3,10,7,9,9.673,9.606,0.023,0.019,10.844,0.026,10.214,0.03,9.939,0.021,1.009,0.685,0.292,0.375,0.372,1.63549627,0.93127305,0.6029219,0.33616816,2.56676932,3.50585938,0.93909006,1.87036311,3.67394053,3.74094053,0.067,3.40794053,5.97470985,4.33921358,2.80501863,2.46885047,0.63,0.275,,,0.547254264355,1.461,0.946774244308
