,Ag,DM,EBV,chi2,dec,field,hmag,objid,period,ra,score_2
9,0.684,14.668,0.651,2.124,16.09803,049+06,10.84,11407125274920965985,3.26962,286.49619,0.833347320557
0,0.406,12.77,1.736,21.6,41.02416,079-00,10.345,11103132300073096716,1.40704,306.14067,0.869392633438
1,0.524,13.599,1.723,4.419,39.62483,079-00,11.876,11175119525366609181,1.01922,306.04109,0.380810171366
2,0.549,14.881,1.775,24.295,40.56368,079-00,11.715,11175225078483180462,1.48059,307.1988,0.56386166811
3,0.445,15.457,1.228,41.621,40.47717,079-00,10.786,11175225078483956456,1.98759,307.13139,0.500454068184
4,0.592,16.287,1.416,30.539,38.97075,079-00,12.278,11193116331690000261,3.19195,306.07159,0.498822718859
5,0.869,15.133,1.876,109.396,39.50577,079-00,11.832,11193151516062171531,1.15136,306.43724,0.340721130371
6,0.494,13.174,2.053,30.096,39.68018,079-00,11.129,11193169108248256457,1.35856,306.61618,0.682727515697
7,0.854,15.752,1.452,13.282,40.13673,079-00,12.985,11193221884806624464,1.58088,307.12879,0.492367446423
8,0.505,15.631,1.441,6.267,40.49771,079-00,12.9,11193257069178706881,1.66159,307.47542,0.944870352745
9,0.78,16.343,1.681,66.826,41.34995,079-00,12.699,11193327437923098956,2.76262,308.0995,0.291478514671
10,0.999,19.146,1.1,135.886,38.98305,079-00,12.559,11211130730199482396,9.93866,306.19186,0.437542200089
11,0.638,15.042,1.249,21.572,39.54683,079-00,11.531,11211183506757701394,1.35678,306.77976,0.287031412125
12,1.443,14.61,1.825,64.374,41.32094,079-00,11.97,11211341836432580916,1.06477,308.28583,0.696881592274
13,0.343,14.472,1.899,28.771,41.49214,079-00,11.411,11211359428618737738,1.28022,308.40618,0.527422487736
14,0.347,12.239,2.877,2.552,38.60697,079-00,10.345,11229127536522962955,1.68464,306.26939,0.668840527534
15,0.336,14.502,1.47,5.992,39.88653,079-00,11.746,11229250681825298757,1.77709,307.56331,0.470459014177
16,0.511,19.345,1.22,41.309,40.28447,079-00,12.964,11229303458383967725,19.49971,308.01123,0.468833327293
17,0.417,15.282,1.908,6.704,39.07687,079-00,0.0,11247229895962528279,1.92267,307.26125,0.321997433901
18,0.465,15.679,1.561,17.791,40.30006,079-00,13.173,11247317856894048960,1.18118,308.25343,0.438716202974
19,0.38,12.46,2.444,17.145,41.10489,079-00,10.785,11247405817823528587,1.07488,308.95444,0.287948220968
20,0.339,15.446,2.076,26.18,39.92598,079-00,11.392,11283346653912788440,3.63508,308.47717,0.367266178131
21,0.422,13.777,1.801,10.773,39.88218,079-00,11.759,11301378644608052603,1.02307,308.78484,0.611509263515
22,0.455,17.626,1.423,22.842,39.3664,079-00,14.119,11319375450931473200,3.67094,308.9112,0.672574520111
