,Ag,DM,EBV,chi2,dec,field,hmag,objid,period,ra,score_2
1,0.697,16.557,0.82,7.855,47.16938,094-06,11.963,11861021267052297762,5.54698,327.6008,0.645576775074
2,1.313,15.88,1.089,117.358,47.17034,094-06,12.303,11897085248443315143,2.55393,328.17812,0.409139692783
3,0.415,15.399,1.244,16.981,47.23946,094-06,11.504,11897102840629967404,2.2302,328.50601,0.636529564857
0,0.435,16.506,0.769,46.271,61.79366,131+00,13.193,11016737074408815486,2.76839,31.51621,0.329305171967
1,0.427,17.607,0.725,12.13,60.65665,131+00,14.528,11016825035339400221,2.12675,33.38504,0.329745411873
2,1.076,16.723,1.244,51.782,62.24544,131+00,13.245,11052677910497526486,2.55692,29.30287,0.704847216606
3,0.779,14.075,1.425,17.138,60.44214,131+00,9.853,11052853832358924384,5.46062,32.89755,0.999657034874
4,0.609,17.141,1.349,20.43,62.97372,131+00,12.671,11088618746586071505,7.36449,26.67917,0.555419147015
5,0.959,15.466,0.927,8.494,60.02531,131+00,12.677,11142873048347108898,1.37935,30.63623,0.499938011169
0,0.745,17.045,1.298,8.149,56.78841,146+00,13.757,10405303056249585513,2.22401,57.03277,0.375264644623
1,0.403,19.431,1.235,6.794,56.41051,146+00,14.321,10441331853267969724,8.98802,56.22869,0.835918784142
2,0.853,18.176,1.219,75.704,54.35805,146+00,13.39,10477518979961530216,8.73863,57.46358,0.855662047863
3,0.686,14.238,2.108,6.275,56.02981,146+00,11.206,10495375048796432654,2.38159,55.53694,0.967559993267
4,0.364,13.649,1.957,9.922,54.66707,146+00,10.02,10495480601912849973,3.78925,56.48168,0.876593589783
5,0.462,14.726,1.08,11.731,54.21086,146+00,12.513,10495515786284988478,1.13276,56.94946,0.262798011303
6,0.653,14.701,1.991,5.637,55.12782,146+00,11.246,10531421438001538839,3.12464,55.04555,0.997498214245
7,0.534,14.881,1.212,9.111,53.82056,146+00,11.975,10531544583303971216,2.18998,56.37577,0.849066317081
8,0.456,14.85,1.312,13.107,55.0721,146+00,11.138,10549435836511038136,3.60722,54.7808,0.985988438129
9,0.558,14.427,2.178,23.464,54.49535,146+00,11.416,10549506205255245679,2.68867,55.57932,0.971743285656
10,0.403,12.831,1.822,6.389,55.68849,146+00,9.747,10567379866276720689,2.03463,53.86963,0.761256754398
11,0.357,14.683,1.269,6.35,55.0758,146+00,12.667,10567432642834451937,1.06451,54.29964,0.609523653984
12,0.417,15.596,1.443,9.408,55.00261,146+00,13.081,10603443847667371598,1.52646,53.7205,0.66626894474
0,0.54,15.314,0.862,94.689,31.0622,169-12,12.448,10929585384744578445,1.45023,66.84225,0.355252832174
0,0.441,17.856,0.425,19.436,14.40745,191-08,14.061,11075371830494754434,3.50438,82.28043,0.365689218044
0,0.566,21.672,0.125,23.639,46.84317,140-12,15.195,11701970313025044604,21.78898,36.26443,0.579485058784
